Country Name,Country Code,Year,Value,Value_EUR,Value_EUR_billions
Germany,DEU,1967,144570993320.9099,134451023788.44623,134.45102378844624
Germany,DEU,1968,155955906530.69864,145038993073.54974,145.03899307354973
Germany,DEU,1969,177084689264.14545,164688761015.65527,164.68876101565527
Germany,DEU,1970,215838448137.65836,200729756768.02228,200.72975676802227
Germany,DEU,1971,249985055484.3027,232486101600.40152,232.48610160040153
Germany,DEU,1972,299801542047.4759,278815434104.1526,278.8154341041526
Germany,DEU,1973,398374021953.8968,370487840417.124,370.487840417124
Germany,DEU,1974,445303484241.554,414132240344.64526,414.13224034464525
Germany,DEU,1975,490636517211.225,456291961006.4393,456.2919610064393
Germany,DEU,1976,519754453161.4106,483371641440.1119,483.3716414401119
Germany,DEU,1977,600498238019.0348,558463361357.7024,558.4633613577024
Germany,DEU,1978,740469983446.9329,688637084605.6476,688.6370846056476
Germany,DEU,1979,881345176608.6863,819651014246.0782,819.6510142460783
Germany,DEU,1980,950290856466.5376,883770496513.88,883.7704965138801
Germany,DEU,1981,800472055387.2782,744439011510.1688,744.4390115101688
Germany,DEU,1982,776576439106.9558,722216088369.469,722.216088369469
Germany,DEU,1983,770684323247.7977,716736420620.4519,716.7364206204519
Germany,DEU,1984,725111123634.1145,674353344979.7266,674.3533449797266
Germany,DEU,1985,732534887058.1982,681257444964.1244,681.2574449641244
Germany,DEU,1986,1046259374943.7087,973021218697.6492,973.0212186976491
Germany,DEU,1987,1298176105549.5105,1207303778161.045,1207.3037781610449
Germany,DEU,1988,1401233225303.4858,1303146899532.242,1303.1468995322418
Germany,DEU,1989,1398967436804.3274,1301039716228.0247,1301.0397162280246
Germany,DEU,1990,1771671206875.681,1647654222394.3833,1647.6542223943834
Germany,DEU,1991,1868945197407.189,1738119033588.6858,1738.1190335886859
Germany,DEU,1992,2131571696931.747,1982361678146.525,1982.3616781465248
Germany,DEU,1993,2071323790370.2827,1926331125044.363,1926.331125044363
Germany,DEU,1994,2205074123177.052,2050718934554.6582,2050.718934554658
Germany,DEU,1995,2585792275146.718,2404786815886.4478,2404.7868158864476
Germany,DEU,1996,2497244606186.639,2322437483753.5747,2322.4374837535747
Germany,DEU,1997,2211989623279.946,2057150349650.3496,2057.1503496503497
Germany,DEU,1998,2238990774702.6787,2082261420473.4912,2082.2614204734914
Germany,DEU,1999,2194945278872.592,2041299109351.5107,2041.2991093515107
Germany,DEU,2000,1947981991011.7688,1811623251640.945,1811.623251640945
Germany,DEU,2001,1945790973803.152,1809585605636.9316,1809.5856056369316
Germany,DEU,2002,2078484517474.5132,1932990601251.2974,1932.9906012512974
Germany,DEU,2003,2501640388482.348,2326525561288.584,2326.525561288584
Germany,DEU,2004,2814353869359.0806,2617349098503.945,2617.349098503945
Germany,DEU,2005,2846864211175.096,2647583716392.8394,2647.5837163928395
Germany,DEU,2006,2994703642023.5254,2785074387081.879,2785.0743870818787
Germany,DEU,2007,3425578382921.58,3185787896117.07,3185.78789611707
Germany,DEU,2008,3745264093617.1865,3483095607063.984,3483.095607063984
Germany,DEU,2009,3411261212652.3413,3172472927766.6777,3172.472927766678
Germany,DEU,2010,3399667820000.0063,3161691072600.006,3161.691072600006
Germany,DEU,2011,3749314991050.591,3486862941677.05,3486.86294167705
Germany,DEU,2012,3527143188785.157,3280243165570.1963,3280.243165570196
Germany,DEU,2013,3733804649549.0303,3472438324080.598,3472.4383240805982
Germany,DEU,2014,3889093051023.516,3616856537451.87,3616.8565374518703
Germany,DEU,2015,3357585719351.5605,3122554718996.9517,3122.5547189969516
Germany,DEU,2016,3469853463945.5337,3226963721469.3467,3226.9637214693466
Germany,DEU,2017,3690849152517.653,3432489711841.4175,3432.4897118414174
Germany,DEU,2018,3974443355019.605,3696232320168.233,3696.232320168233
Germany,DEU,2019,3889177589254.896,3616935158007.053,3616.9351580070534
Germany,DEU,2020,3887727161914.408,3615586260580.4,3615.5862605804
Germany,DEU,2021,4278503934689.8535,3979008659261.564,3979.008659261564
Germany,DEU,2022,4082469490797.681,3796696626441.8438,3796.696626441844
Germany,DEU,2023,4456081016705.961,4144155345536.544,4144.155345536544
Greece,GRC,1960,4335191696.005855,4031728277.285445,4.0317282772854455
Greece,GRC,1961,4961399303.483932,4614101352.240057,4.614101352240057
Greece,GRC,1962,5213043168.0939,4848130146.327327,4.8481301463273265
Greece,GRC,1963,5895281431.591881,5482611731.380449,5.482611731380449
Greece,GRC,1964,6669669849.61844,6202792960.145149,6.202792960145149
Greece,GRC,1965,7689148374.19223,7150907987.998775,7.1509079879987745
Greece,GRC,1966,8591522486.934435,7990115912.849025,7.990115912849025
